model,val_roc_auc,val_pr_auc,val_precision_at_0.5,val_recall_at_0.5,val_f1_at_0.5,val_accuracy_at_0.5
LogisticRegression_standard,0.8273873032808748,0.42515405366334613,0.6086956521739131,0.15217391304347827,0.24347826086956523,0.8830645161290323
LogisticRegression_balanced,0.827087223259536,0.4255939285742419,0.2925764192139738,0.7282608695652174,0.4174454828660436,0.7486559139784946
RandomForest_balanced,0.7867931448386236,0.31909623875093723,0.38461538461538464,0.05434782608695652,0.09523809523809523,0.8723118279569892
HistGradientBoosting_standard,0.783242197919445,0.34058260994826367,0.375,0.13043478260869565,0.1935483870967742,0.8655913978494624
RandomForest_standard,0.7797579354494533,0.32391229600398497,0.3684210526315789,0.07608695652173914,0.12612612612612611,0.8696236559139785
HistGradientBoosting_balanced,0.7723142838090156,0.33479416639938675,0.3,0.391304347826087,0.33962264150943394,0.8118279569892473
